gun,month,year,count_guns,latitude,longitude,n_killed,n_injured,count_total_guns,gun_percentage,date
40 SW,8,2017,110,37.002256435643524,-94.27702376237622,6,13,1340,8.208955223880597,2017-08-01
410 gauge,8,2017,4,38.203625,-90.87774999999999,0,1,1340,0.29850746268656714,2017-08-01
44 Mag,8,2017,6,38.4022,-79.39691666666666,0,0,1340,0.44776119402985076,2017-08-01
45 Auto,8,2017,66,39.036495000000016,-83.25548500000001,9,7,1340,4.925373134328358,2017-08-01
9mm,8,2017,167,38.90875679012344,-84.40176296296295,16,27,1340,12.462686567164178,2017-08-01
Handgun,8,2017,519,39.08412510204084,-90.26240387755094,60,117,1340,38.73134328358209,2017-08-01
Other,8,2017,16,33.987399999999994,-84.65124285714286,0,0,1340,1.1940298507462686,2017-08-01
Rifle,8,2017,138,38.93985284552848,-94.4186772357724,15,37,1340,10.298507462686567,2017-08-01
Shotgun,8,2017,87,38.345320987654304,-96.78828888888889,11,16,1340,6.492537313432836,2017-08-01
12 gauge,9,2014,5,36.60238,-84.28828000000001,3,0,143,3.4965034965034967,2014-09-01
22 LR,9,2014,14,39.55942142857143,-95.12001428571429,1,3,143,9.79020979020979,2014-09-01
25 Auto,9,2014,3,38.425999999999995,-88.27003333333333,0,0,143,2.097902097902098,2014-09-01
30-06 Spr,9,2014,3,40.1858,-111.623,0,0,143,2.097902097902098,2014-09-01
30-30 Win,9,2014,1,42.0345,-71.1933,1,0,143,0.6993006993006993,2014-09-01
32 Auto,9,2014,1,36.1647,-86.816,0,0,143,0.6993006993006993,2014-09-01
38 Spl,9,2014,1,42.192,-121.727,0,0,143,0.6993006993006993,2014-09-01
380 Auto,9,2014,2,39.6057,-81.7065,0,2,143,1.3986013986013985,2014-09-01
40 SW,9,2014,8,38.5503,-83.869675,4,4,143,5.594405594405594,2014-09-01
410 gauge,9,2014,1,30.2339,-92.0094,0,0,143,0.6993006993006993,2014-09-01
44 Mag,9,2014,1,41.1419,-81.8639,0,0,143,0.6993006993006993,2014-09-01
45 Auto,9,2014,16,38.074743749999996,-94.13828125000002,1,4,143,11.188811188811188,2014-09-01
9mm,9,2014,13,38.83224166666667,-85.94680000000001,1,1,143,9.090909090909092,2014-09-01
Handgun,9,2014,38,39.49177222222222,-90.10330277777774,9,13,143,26.573426573426573,2014-09-01
Other,9,2014,10,36.98912999999999,-93.07262,0,0,143,6.993006993006993,2014-09-01
Rifle,9,2014,10,41.825925,-91.38702500000002,2,3,143,6.993006993006993,2014-09-01
Shotgun,9,2014,16,37.197256249999995,-93.640275,4,7,143,11.188811188811188,2014-09-01
12 gauge,9,2017,33,39.210596774193554,-88.97590967741935,0,6,1306,2.5267993874425727,2017-09-01
16 gauge,9,2017,5,39.5678,-92.32488000000001,0,0,1306,0.38284839203675347,2017-09-01
20 gauge,9,2017,11,40.169390909090914,-86.94891818181817,1,1,1306,0.8422664624808576,2017-09-01
22 LR,9,2017,63,39.90953934426228,-85.55735901639348,6,15,1306,4.823889739663094,2017-09-01
25 Auto,9,2017,8,41.593833333333336,-87.61006666666667,0,1,1306,0.6125574272588055,2017-09-01
30-06 Spr,9,2017,1,48.1569,-103.627,0,0,1306,0.07656967840735068,2017-09-01
30-30 Win,9,2017,4,41.987899999999996,-82.5918,0,0,1306,0.30627871362940273,2017-09-01
32 Auto,9,2017,8,39.52387142857143,-82.80017142857142,1,0,1306,0.6125574272588055,2017-09-01
357 Mag,9,2017,16,39.216621428571436,-79.46530714285713,0,0,1306,1.225114854517611,2017-09-01
38 Spl,9,2017,33,39.66037857142857,-87.4289142857143,3,6,1306,2.5267993874425727,2017-09-01
380 Auto,9,2017,50,38.188202222222216,-83.06532222222222,1,4,1306,3.8284839203675345,2017-09-01
40 SW,9,2017,58,39.891494339622646,-83.62890943396226,11,18,1306,4.44104134762634,2017-09-01
410 gauge,9,2017,2,40.9822,-91.99145,0,0,1306,0.15313935681470137,2017-09-01
44 Mag,9,2017,6,40.367066666666666,-94.9028,0,0,1306,0.45941807044410415,2017-09-01
45 Auto,9,2017,60,39.541364912280685,-85.78463859649119,4,3,1306,4.594180704441041,2017-09-01
9mm,9,2017,136,38.79204545454544,-82.84004545454546,12,16,1306,10.413476263399694,2017-09-01
Handgun,9,2017,578,39.414734026465,-88.00834385633254,56,120,1306,44.257274119448695,2017-09-01
Other,9,2017,31,41.1767125,-89.41270833333333,2,3,1306,2.3736600306278715,2017-09-01
Rifle,9,2017,130,37.4407963963964,-93.24944414414418,12,26,1306,9.95405819295559,2017-09-01
Shotgun,9,2017,73,39.91882903225808,-92.9408435483871,7,20,1306,5.5895865237366005,2017-09-01
12 gauge,10,2014,1,40.8987,-76.781,0,0,129,0.7751937984496124,2014-10-01
20 gauge,10,2014,1,42.138,-87.91,0,0,129,0.7751937984496124,2014-10-01
22 LR,10,2014,13,40.751607692307694,-81.78036153846155,4,1,129,10.077519379844961,2014-10-01
25 Auto,10,2014,1,42.3046,-75.4279,1,1,129,0.7751937984496124,2014-10-01
32 Auto,10,2014,3,34.57476666666666,-81.73186666666668,1,0,129,2.3255813953488373,2014-10-01
357 Mag,10,2014,5,39.2201,-83.14356000000001,0,0,129,3.875968992248062,2014-10-01
38 Spl,10,2014,11,37.36354545454546,-85.5743090909091,2,1,129,8.527131782945736,2014-10-01
380 Auto,10,2014,2,43.852199999999996,-95.46845,1,0,129,1.550387596899225,2014-10-01
40 SW,10,2014,8,43.41274285714286,-106.38289999999999,3,2,129,6.2015503875969,2014-10-01
44 Mag,10,2014,2,61.43155,-149.57,1,0,129,1.550387596899225,2014-10-01
45 Auto,10,2014,9,36.50063333333334,-91.47447777777778,0,2,129,6.976744186046512,2014-10-01
9mm,10,2014,18,37.18866666666667,-90.67314444444443,11,1,129,13.953488372093023,2014-10-01
Handgun,10,2014,30,39.059551724137926,-89.16282413793104,6,12,129,23.25581395348837,2014-10-01
Other,10,2014,7,42.36387142857143,-80.90452857142857,0,0,129,5.426356589147287,2014-10-01
Rifle,10,2014,13,37.755307692307696,-95.12970000000001,6,4,129,10.077519379844961,2014-10-01
Shotgun,10,2014,5,40.02942,-94.64092,2,0,129,3.875968992248062,2014-10-01
12 gauge,11,2014,3,45.77446666666666,-77.92433333333334,4,1,163,1.8404907975460123,2014-11-01
20 gauge,11,2014,1,46.6464,-67.8672,0,0,163,0.6134969325153374,2014-11-01
22 LR,11,2014,9,37.0687,-84.11332222222221,0,2,163,5.521472392638037,2014-11-01
25 Auto,11,2014,2,34.78725,-94.68575000000001,0,0,163,1.2269938650306749,2014-11-01
30-06 Spr,11,2014,1,44.7684,-91.2891,0,1,163,0.6134969325153374,2014-11-01
30-30 Win,11,2014,2,46.0972,-68.1092,0,1,163,1.2269938650306749,2014-11-01
357 Mag,11,2014,4,44.7026,-95.514825,2,0,163,2.4539877300613497,2014-11-01
38 Spl,11,2014,9,37.95897777777778,-88.1866888888889,0,2,163,5.521472392638037,2014-11-01
380 Auto,11,2014,10,36.50394,-83.03616,4,3,163,6.134969325153374,2014-11-01
40 SW,11,2014,13,36.70370833333333,-89.9601,5,2,163,7.975460122699387,2014-11-01
45 Auto,11,2014,12,41.47432,-104.44533000000001,2,7,163,7.361963190184049,2014-11-01
9mm,11,2014,17,40.19169411764706,-92.87675882352941,10,3,163,10.429447852760736,2014-11-01
Handgun,11,2014,45,40.21295833333334,-93.23432499999998,10,12,163,27.607361963190183,2014-11-01
Other,11,2014,6,39.2802,-86.86710000000001,1,0,163,3.6809815950920246,2014-11-01
Rifle,11,2014,19,41.599247368421054,-89.40643157894736,3,3,163,11.656441717791411,2014-11-01
Shotgun,11,2014,10,42.178444444444445,-82.04413333333335,2,2,163,6.134969325153374,2014-11-01
12 gauge,12,2014,28,39.01455714285714,-82.98633214285714,6,6,967,2.8955532574974145,2014-12-01
20 gauge,12,2014,10,41.06136,-96.51318999999998,1,5,967,1.0341261633919339,2014-12-01
22 LR,12,2014,92,36.814441758241735,-85.7393714285714,11,16,967,9.513960703205791,2014-12-01
25 Auto,12,2014,17,37.875694117647065,-90.70171764705883,0,3,967,1.7580144777662874,2014-12-01
30-06 Spr,12,2014,2,38.7425,-80.798,1,1,967,0.20682523267838676,2014-12-01
30-30 Win,12,2014,4,39.25816666666666,-77.52890000000001,1,0,967,0.4136504653567735,2014-12-01
300 Win,12,2014,2,43.93,-90.53155,0,1,967,0.20682523267838676,2014-12-01
308 Win,12,2014,1,41.4558,-72.1409,0,0,967,0.10341261633919338,2014-12-01
32 Auto,12,2014,11,37.34630000000001,-88.27328181818181,0,1,967,1.1375387797311272,2014-12-01
357 Mag,12,2014,10,39.313320000000004,-88.35104,0,1,967,1.0341261633919339,2014-12-01
38 Spl,12,2014,31,37.029358064516124,-85.4704064516129,7,4,967,3.2057911065149947,2014-12-01
380 Auto,12,2014,90,36.73374555555557,-90.49912777777776,7,3,967,9.307135470527404,2014-12-01
40 SW,12,2014,43,37.39781190476191,-89.18634523809521,11,4,967,4.446742502585315,2014-12-01
410 gauge,12,2014,2,38.341300000000004,-92.58590000000001,0,1,967,0.20682523267838676,2014-12-01
44 Mag,12,2014,1,24.5764,-81.659,0,0,967,0.10341261633919338,2014-12-01
45 Auto,12,2014,49,37.18034285714286,-90.1610918367347,3,3,967,5.067218200620475,2014-12-01
9mm,12,2014,125,37.28139274193546,-90.69541774193549,11,17,967,12.926577042399172,2014-12-01
