state,year,gun,count_guns,latitude,longitude,mean_n_killed,mean_n_injured,count_handgun,count_shotgun,fip,state_abbr,population
Alabama,2017,300 Win,1,30.6965,-88.044,0.0,0.0,0,0,1, AL,4874486
Alabama,2017,32 Auto,1,33.3047,-86.8068,0.0,0.0,0,0,1, AL,4874486
Alabama,2017,357 Mag,1,30.6823,-88.1765,0.0,2.0,0,0,1, AL,4874486
Alabama,2017,38 Spl,5,33.166740000000004,-86.87694,0.4,0.2,0,0,1, AL,4874486
Alabama,2017,380 Auto,2,32.6748,-87.42685,0.0,0.0,0,0,1, AL,4874486
Alabama,2017,40 SW,5,32.38946,-86.38951999999999,0.4,1.6,0,0,1, AL,4874486
Alabama,2017,410 gauge,1,32.5388,-86.4924,1.0,0.0,0,0,1, AL,4874486
Alabama,2017,45 Auto,4,31.92155,-87.12652499999999,0.0,0.25,0,0,1, AL,4874486
Alabama,2017,9mm,11,32.38771818181818,-86.94995454545455,0.2727272727272727,0.09090909090909091,0,0,1, AL,4874486
Alabama,2017,Handgun,141,33.486112857142885,-87.08020642857144,0.10638297872340426,0.19858156028368795,141,0,1, AL,4874486
Alabama,2017,Other,3,33.416266666666665,-85.89593333333333,0.0,0.0,0,0,1, AL,4874486
Alabama,2017,Rifle,21,32.99498571428572,-86.84977619047619,0.14285714285714285,0.0,0,0,1, AL,4874486
Alabama,2017,Shotgun,13,32.35154615384615,-87.20005384615386,0.23076923076923078,0.5384615384615384,0,13,1, AL,4874486
Alabama,2017,Unknown,1651,32.87843591762573,-86.87937456087222,0.31617201695941854,0.5081768625075712,0,0,1, AL,4874486
Alabama,2018,12 gauge,1,34.3034,-86.0499,0.0,1.0,0,0,1, AL,4887681
Alabama,2018,22 LR,1,32.2405,-85.4148,2.0,2.0,0,0,1, AL,4887681
Alabama,2018,38 Spl,2,33.2629,-85.57419999999999,0.5,0.0,0,0,1, AL,4887681
Alabama,2018,380 Auto,1,30.517,-87.8665,0.0,0.0,0,0,1, AL,4887681
Alabama,2018,9mm,6,31.19803333333333,-87.85966666666667,0.16666666666666666,0.3333333333333333,0,0,1, AL,4887681
Alabama,2018,Handgun,13,33.33336153846154,-86.84714615384617,0.07692307692307693,0.5384615384615384,13,0,1, AL,4887681
Alabama,2018,Rifle,6,32.95408333333333,-87.05236666666667,0.0,0.3333333333333333,0,0,1, AL,4887681
Alabama,2018,Shotgun,1,32.6317,-85.444,0.0,0.0,0,1,1, AL,4887681
Alabama,2018,Unknown,362,32.767088787878805,-86.92739636363646,0.36187845303867405,0.5828729281767956,0,0,1, AL,4887681
Alaska,2014,20 gauge,1,71.3001,-156.752,1.0,0.0,0,0,2, AK,736283
Alaska,2014,22 LR,2,62.771100000000004,-147.4715,0.0,1.0,0,0,2, AK,736283
Alaska,2014,357 Mag,1,61.5419,-149.036,1.0,0.0,0,0,2, AK,736283
Alaska,2014,38 Spl,1,64.8553,-147.714,0.0,0.0,0,0,2, AK,736283
Alaska,2014,40 SW,3,62.55726666666667,-148.87800000000001,0.0,0.3333333333333333,0,0,2, AK,736283
Alaska,2014,44 Mag,2,61.43155,-149.57,0.5,0.0,0,0,2, AK,736283
Alaska,2014,9mm,1,64.8188,-147.865,0.0,0.0,0,0,2, AK,736283
Alaska,2014,Handgun,4,60.736850000000004,-154.90474999999998,0.0,0.0,4,0,2, AK,736283
Alaska,2014,Other,1,64.5099,-165.44400000000002,0.0,0.0,0,0,2, AK,736283
Alaska,2014,Rifle,1,65.3198,-151.89,2.0,0.0,0,0,2, AK,736283
Alaska,2014,Shotgun,1,65.3198,-151.89,2.0,0.0,0,1,2, AK,736283
Alaska,2014,Unknown,18,62.58315555555555,-151.29149999999996,0.2777777777777778,0.3333333333333333,0,0,2, AK,736283
Alaska,2015,12 gauge,7,63.01604285714286,-149.25942857142857,0.0,0.0,0,0,2, AK,737498
Alaska,2015,20 gauge,2,62.97335,-154.3345,0.0,1.5,0,0,2, AK,737498
Alaska,2015,22 LR,18,63.437516666666674,-151.3267222222222,0.2222222222222222,0.0,0,0,2, AK,737498
Alaska,2015,25 Auto,2,58.3621,-134.5875,0.0,0.0,0,0,2, AK,737498
