state,year,count_perpetrators,latitude,longitude,mean_n_killed,mean_n_injured,mean_age,count_underages,count_males,count_females,fip,state_abbr,population,underages_ratio,male_pctg,female_pctg,perpetrators_per_1M
Arkansas,2016,595,35.120664298724954,-92.16810382513648,0.24201680672268908,0.4436974789915966,30.944117647058825,54.0,519,36,5,AR,2989918,0.0907563025210084,93.51351351351352,6.486486486486487,199.00211310142953
Arkansas,2017,682,35.02332035928142,-92.25319640718567,0.2668621700879765,0.4633431085043988,30.585714285714285,61.0,563,57,5,AR,3001345,0.08944281524926687,90.80645161290323,9.193548387096774,227.23145789637647
Arkansas,2018,177,35.046233532934124,-92.4381,0.21468926553672316,0.24858757062146894,28.725490196078432,22.0,147,10,5,AR,3009733,0.12429378531073447,93.63057324840764,6.369426751592357,58.80920334129306
California,2013,37,36.150094594594606,-119.86840540540538,1.4594594594594594,2.945945945945946,22.333333333333332,4.0,30,1,6,CA,38260787,0.10810810810810811,96.7741935483871,3.225806451612903,0.9670475413900922
California,2014,2634,36.48817763809524,-120.36088914285733,0.244874715261959,0.3572513287775247,29.371062992125985,139.0,2307,95,6,CA,38596972,0.052771450265755505,96.04496253122397,3.95503746877602,68.24369538625983
California,2015,2287,35.95018471422249,-119.66539698715103,0.31963270660253607,0.3935286401399213,30.64222401289283,160.0,1939,104,6,CA,38918045,0.069960647135986,94.90944689182575,5.090553108174253,58.76451399344443
California,2016,2777,36.13313909433965,-119.91922566037735,0.28988116672668346,0.38350738206697876,30.132271892222903,188.0,2363,137,6,CA,39167117,0.06769895570759812,94.52,5.48,70.90131244533521
California,2017,4383,36.29305161966905,-119.9590785364719,0.2637462924937258,0.34998859228838697,30.543169841913254,292.0,3684,241,6,CA,39358497,0.06662103582021446,93.85987261146497,6.140127388535032,111.36095974396584
California,2018,1182,36.34474333958728,-120.04068011256993,0.20304568527918782,0.31810490693739424,30.76183644189383,83.0,1021,71,6,CA,39461588,0.07021996615905245,93.4981684981685,6.501831501831502,29.95317877222782
Colorado,2013,1,39.6518,-104.802,4.0,0.0,33.0,0.0,1,0,8,CO,5269035,0.0,100.0,0.0,0.18978807314811916
